Player,FG36,FGA36,threesMade36,threesAttempted36,twosMade36,twosAttempted36,FT36,FTA36,ORB36,DRB36,TRB36,AST36,STL36,BLK36,TOV36,PF36,PTS36
Donatas Motiejunas\motiedo01,4.3,10.4,0.8,3.5,3.5,6.8,1.9,3.7,2,5.6,7.6,2.4,1.4,0.8,2.3,4.1,11.3
Timofey Mozgov\mozgoti01,5.5,10.7,0,0,5.5,10.7,2.1,2.5,3.4,5.2,8.6,1.4,0.5,1,2.3,4.3,13.1
Emmanuel Mudiay\mudiaem01,5.3,14.1,1.4,4.6,3.9,9.6,3.4,4.3,0.7,3.8,4.6,5.6,1,0.3,3.1,2.4,15.4
Shabazz Muhammad\muhamsh01,6.8,14.2,1.2,3.4,5.7,10.8,3.5,4.5,2,3.2,5.2,0.8,0.5,0.1,1.3,2,18.3
Dejounte Murray\murrade01,5.6,13,1,2.6,4.6,10.4,2.3,3.4,0.7,4,4.7,5.4,0.9,0.7,4.2,3.2,14.5
Jamal Murray\murraja01,6,14.9,2.3,7,3.7,7.9,2.2,2.4,0.8,3.5,4.4,3.5,1,0.5,2.3,2.5,16.6
Mike Muscala\muscami01,4.9,9.8,1.3,3.2,3.6,6.6,1.4,1.9,2.2,4.8,7,2.8,0.9,1.2,1.6,2.8,12.7
Larry Nance\nancela02,4.7,9,0.2,0.9,4.5,8.1,1.5,2,3,6.2,9.2,2.4,2,1,1.4,3.7,11.2
Shabazz Napier\napiesh01,5.1,12.9,2.4,6.5,2.7,6.4,2.7,3.4,0.6,3.7,4.3,4.7,2.3,0.1,2.9,2.7,15.3
Maurice Ndour\ndourma01,4.2,9.4,0.1,0.8,4.1,8.6,2.1,2.8,2.4,4.6,7,0.9,1.6,0.9,1.3,3.3,10.7
Gary Neal\nealga01,0,14,0,4,0,10,8,8,0,2,2,2,0,0,0,2,8
Jameer Nelson\nelsoja01,4.7,10.6,1.9,4.8,2.9,5.8,0.8,1.1,0.5,2.9,3.4,6.8,1,0.1,2.3,3.5,12.1
Raul Neto\netora01,4.3,9.5,1,3.2,3.2,6.2,0.8,0.9,0.4,2.7,3.1,3.5,2.2,0.5,1.6,5,10.4
Georges Niang\niangge01,3.5,13.9,0.4,4.6,3.1,9.3,0.8,0.8,0.8,5.8,6.6,1.9,1.2,0,1.9,2.3,8.1
Andrew Nicholson\nichoan01,4.5,11.7,0.5,2.8,4,8.8,0.9,1.5,1.6,4.8,6.4,1.1,1.7,0.6,1.8,5.8,10.5
Joakim Noah\noahjo01,3.5,7.2,0,0,3.5,7.1,1.2,2.8,5.7,8.5,14.3,3.7,1.1,1.3,2.1,4.5,8.2
Nerlens Noel\noelne01,6.3,10.6,0,0,6.3,10.6,2.6,3.8,3.2,6.9,10.1,1.7,2.2,1.7,1.8,4.3,15.3
Lucas Nogueira\noguelu01,3.4,5.2,0.1,0.4,3.3,4.8,1.5,2.2,2.7,5.4,8.1,1.4,1.7,2.9,1.5,4.5,8.4
Steve Novak\novakst01,3.3,11.5,1.6,9.8,1.6,1.6,0,0,0,4.9,4.9,0,0,0,0,1.6,8.2
